Ќазвани€ строк	—умма по полю 2		Ќазвани€ строк	 оличество по полю 152
алый	2		бел<оват>ый	1
багровый	1		белес<оват>ый	1
багр€ный	1		голуб<оват>ый	1
белый	6		желт<оват>ый	1
бледный	2		зелен<оват>ый	1
голубой	4		коричн<еват>ый	1
гр€зно	1		красн<оват>ый	1
желт<оват>ый	5		лил<оват>ый	1
желтый	2		рыж<еват>ый	1
жемчужный	1		р€б<оват>ый	1
зеленый	1		сед<оват>ый	1
золотой	1		сер<оват>ый	1
красн<оват>ый	2		сиз<оват>ый	1
красный	2		син<еват>ый	1
лазурный	1		сирен<еват>ый	1
лил<оват>ый	3		темн<оват>ый	1
лиловый	1		черн<оват>ый	1
медный	1		(пусто)	
молочный	1		ќбщий итог	17
мышиный	1			
нежный	1			
песчаный	1			
ржавый	2			
роз<оват>ый	10			
розовый	1			
серебристый	1			
серый	3			
сизый	2			
син<еват>ый	6			
синий	3			
сиреневый	1			
смуглый	1			
снежный	1			
телесный	1			
фиалковый	2			
черный	5			
ќбщий итог	80			
